EAN,Price,Quantity
8591149004162,20.68,662
8591149004179,20.68,725
8591149004209,20.68,551
8591149004223,20.68,818
8591149004230,20.68,573
8591149004247,20.68,856
8591149004254,20.68,747
8591149006449,37.76,393
8591149008672,20.68,665
8591149021213,20.68,856
8591149031717,20.68,837
8591149048869,20.68,688
8591149078767,35.10,47
8591149081118,35.10,324
8591149081446,20.68,727
8591149081484,20.68,597
8591149095528,52.12,91
8591149104411,52.12,45
8591149173998,56.73,554
8591149191763,37.76,391
8591149194702,35.10,20
8591149201653,60.53,248
8591149220241,26.38,445
8591149254260,37.76,226
8591149256479,26.56,153
8591149258916,23.72,299
8591149284229,26.38,293
8591149291500,18.79,572
8591149293290,43.45,538
8591149298813,37.76,59
8591149306563,26.38,54
8591149306587,26.38,2
8591149308802,60.72,53
8591149313752,35.10,45
8591149319495,43.45,48
8591149326622,60.53,152
8591149347443,,0
8591149366239,12.33,960
8591149367014,23.72,159
8591149403330,26.38,353
8591149415289,32.07,197
8591149441479,60.53,98
8591149441486,60.53,116
8591149441493,60.53,32
8591149448454,23.72,146
8591149462665,24.48,178
8591149463426,24.48,304
8591149463433,24.48,231
8591149463877,24.48,68
8591149464492,24.48,72
8591149464508,35.86,245
8591149464522,35.86,27
8591149464539,35.86,828
8591149464546,35.86,504
8591149467059,23.72,71
8591149471261,24.48,188
8591149474996,24.48,265
8591149475009,24.48,249
8591149509971,37.76,230
8591149509988,37.76,202
8591149517556,24.48,314
8591149517563,24.48,180
8591149517570,24.48,259
8591149522314,43.45,106
8591149522475,24.48,2483
8591149553165,35.86,309
8591149569944,23.72,60
8591149569951,23.72,126
8591149609220,60.53,90
8591149636646,24.48,179
8591149636974,24.48,2343
8591149644573,35.86,367
8591149661860,24.48,68
8591149664373,43.45,230
8591149664649,35.86,151
8591149666162,54.84,34
8591149668326,54.84,392
8591149668968,37.76,174
8591149670855,52.12,63
8591149670954,26.38,94
8591149671050,24.48,68
8591149672859,35.86,169
8591149676338,37.76,537
8591149677380,21.82,286
8591149680700,37.76,65
8591149690631,35.10,88
8591149760433,35.10,245
8591149762109,23.72,64
8591149793110,41.55,103
8591149794810,,0
8591149810756,35.86,457
8591149855023,32.07,45
8591149857607,35.86,425
8591149857614,24.48,49
8591149866302,35.10,2996
8591149880919,37.76,213
8591149886416,37.76,509
8591149894404,28.27,323
8591149894411,28.27,674
8591149897948,30.17,264
8591149900617,28.27,402
8591149900624,28.27,442
8591149903779,28.27,1079
8591149908811,43.45,33
8591149908828,43.45,439
8591149919992,23.72,101
8591149920325,28.27,1543
8591149921605,32.07,703
8591149929724,,0
8591149932779,73.81,115
8591149932786,73.81,23
8591149938740,35.86,365
8591149939457,58.63,433
8591149944932,32.07,131
8591149948176,18.78,3814
8591149948190,18.78,727
8591149948398,20.68,999
8591149949272,32.07,45
8591149949289,,0
8591149949296,32.07,41
8591149949302,32.07,41
8591149949319,32.07,103
8591149949326,32.07,110
8591149949333,32.07,22
8591149949340,32.07,16
8591149949357,32.07,240
8591149954405,75.71,146
8591149957871,35.86,101
