EAN,Price,Quantity
8591149666292,52.94,46
8591149016486,52.94,662
8591149676093,52.94,46
8591149666285,52.94,55
8591149101557,52.94,49
8591149666278,52.94,36
8591149679469,52.94,91
8596475126663,52.94,194
8596475126694,52.94,114
8596475126625,52.94,192
8596475126656,52.94,110
8596475126687,52.94,115
8596475126717,52.94,113
8596475126649,52.94,205
8596475126670,52.94,203
8596475126700,52.94,205
8596475126632,52.94,203
8596475127219,73.81,115
8591149930775,73.81,480
8591149812163,73.81,481
8591149790584,73.81,65
8591149790607,73.81,547
8591149790553,73.81,201
8591149790577,73.81,214
8596475022996,73.81,140
8596475024648,73.81,433
8596475024655,73.81,483
8596475112154,73.81,453
8596475120227,73.81,62
8596475126663,52.94,194
8596475126694,52.94,114
8596475126625,52.94,192
8596475126656,52.94,110
8596475126687,52.94,115
8596475126717,52.94,113
8596475126649,52.94,205
8596475126670,52.94,203
8596475126700,52.94,205
8596475126632,52.94,203
